id_bien,no_voie,btq,type_voie,voie,type_local,surface_reelle_bati,nb_pieces_principales,surface_terrain,id_codedep_codecommune
1,347,,RUE,DU CHATEAU,Appartement,48,3,,01103
2,4,,BD,EDOUARD BAUDOIN,Appartement,40,1,,06004
3,20,B,RUE,MARCEAU,Appartement,82,3,,06088
4,550,,RTE,DES VESPINS RN7,Appartement,27,1,,06123
5,9300,,RES,LES ARPEGES BD DES ABA,Appartement,47,2,,13005
6,27,,RUE,DU GRAND MADIER,Appartement,24,1,,13028
7,360,,AV,DU PRADO,Appartement,70,3,,13208
8,5076,F,PARC,DESSUARD,Appartement,66,3,,13212
9,1194,,RUE,DE NORMANDIE,Appartement,19,1,,14338
10,30,,ALL,DES NOISETIERS,Maison,99,4,,14366
11,11,,RUE,ROUGET DE L ISLE,Appartement,34,2,,17300
12,13,,RUE,BERTHE MORISOT,Maison,100,5,,25056
13,1,,RUE,DU POHER,Appartement,31,1,,29232
14,2,,RUE,DES JARDINS,Appartement,67,3,,29260
15,5,,AV,DU COMMANDANT TAILLANDIER,Appartement,46,2,,31555
16,15,,RUE,PAUL DENUCE,Appartement,27,1,,33063
17,176,,RUE,SAINTE CATHERINE,Appartement,12,1,,33063
18,822,G,,LA BAYNASSE SUD,Appartement,29,2,,33097
19,9,,RUE,DE BELFORT,Appartement,51,2,,33449
20,183,,RUE,MARC ANTOINE MENARD,Appartement,18,1,,34145
21,50,,AV,ANDRE CHASSEFIERE,Appartement,51,2,,34150
22,8,,PL,DES ETATS DU LANGUEDOC,Appartement,85,3,,34199
23,7,,RUE,JEAN-JACQUES ROUSSEAU,Maison,89,4,,37156
24,197,,AV,DE GRAMMONT,Appartement,46,2,,37261
25,48,,BD,MAL FOCH,Appartement,77,4,,38185
26,210,,RTE,DU TAILLEUR,Maison,53,3,,40266
27,199,,RES,MER ET GOLF-LE BOUCANIER,Appartement,48,2,,40328
28,3,,ALL,JEAN PERRIN,Appartement,45,2,,44143
29,12,,RUE,FERDINAND BUISSON,Appartement,48,2,,44184
30,35,,AV,DE CHAMPAGNE,Appartement,79,4,,51230
31,26,,RUE,MESSIER,Appartement,39,2,,54395
32,5794,,,GOLF SAINT LAURENT,Appartement,44,3,,56161
33,5,,RUE,DE PRUNEVEAUX,Appartement,124,4,,58194
34,118,,BD,DU GENERAL DE GAULLE,Appartement,71,3,,59512
35,247,,RUE,DE NOTRE DAME DU THIL,Appartement,48,2,,60057
36,34,,RUE,DE LA VILLE,Appartement,18,1,,60155
37,15,,SQ,JEAN BAPTISTE CLEMENT,Appartement,97,5,,60159
38,84,,AV,JEAN JAURES,Appartement,32,1,,60524
39,54,,RUE,DE LA BUSSIERE,Appartement,51,2,,69149
40,15,,RUE,ARTAUD,Appartement,20,1,,69384
41,1,,AV,D ABONDANCE,Appartement,33,2,,74119
42,950,,AV,DU MONT D ARBOIS,Appartement,39,2,,74236
43,110,,RTE,DE LA TELECABINE,Appartement,20,1,,74238
44,2308,,AV,DES VALLEES,Appartement,88,4,,74278
45,22,,BD,SAINT MARCEL,Appartement,41,2,,75105
46,45,,BD,DE MAGENTA,Appartement,32,2,,75110
47,14,,AV,DE LA REPUBLIQUE,Appartement,120,4,,75111
48,160,,RUE,SAINT MAUR,Appartement,28,2,,75111
49,11,,RUE,DU MOULIN JOLY,Appartement,28,2,,75111
50,36,,RUE,ERARD,Appartement,41,2,,75112
51,220,,RUE,DE CHARENTON,Appartement,51,3,,75112
52,17,,RUE,D AUSTERLITZ,Appartement,10,1,,75112
53,60,A,RUE,EMERIAU,Appartement,88,4,,75115
54,4,,RUE,SQUARE CARPEAUX,Appartement,18,1,,75118
55,36,,AV,DE CLICHY,Appartement,39,2,,75118
56,68,,RUE,MARCADET,Appartement,25,2,,75118
57,16,,AV,ALEXANDRE ANQUETIN,Appartement,59,4,,76217
58,5,,PARC,DE LA BRESLE,Appartement,58,3,,76451
59,4,,RUE,FRANCOIS LAPERT,Appartement,25,1,,76655
60,5,B,RUE,DE LA SOLIDARITE,Appartement,40,2,,77118
61,4,,ALL,HELENE LAZAREFF,Appartement,89,4,,78350
62,1,,AV,DE DENTON,Appartement,107,5,,78423
63,15,,RUE,ROBERT DESNOS,Appartement,70,4,,78545
64,1,,RUE,MAL DE LATTRE DE TASSIGNY,Appartement,40,2,,78545
65,53,,RUE,DE MAREIL,Appartement,142,5,,78551
66,1,,RUE,MAETERLINCK,Appartement,74,3,,78586
67,2,,RUE,DIVISION LECLERC,Appartement,48,2,,78640
68,,,,LES SAVELS,Appartement,50,2,,83062
69,31,,AV,DE LA SABLIERE CAPTE,Appartement,20,1,,83069
70,9100,,RES,LE GRAND SOLEIL,Appartement,38,2,,83112
71,8,,ALL,DES PAQUERETTES,Maison,91,5,,83123
72,43,,RUE,CAMPANE,Appartement,40,2,,84007
73,78,,RUE,CARNOT,Appartement,45,2,,85047
74,20,B,ALL,DU HAUT POITOU,Appartement,30,1,,86062
75,9007,,RUE,DES DOUVES,Appartement,75,4,,86194
76,14,,RUE,DU CLUZEAU,Appartement,62,2,,87075
77,8,,RUE,GEORGES BELJEAN,Appartement,43,2,,87085
78,2,,RUE,D ADELAIAU,Appartement,128,5,,91249
79,6,,RUE,DE LA DIVISION LECLERC,Appartement,43,2,,91689
80,79,,RUE,DE VARSOVIE,Appartement,55,3,,92025
81,5,,BD,GEORGES CLEMENCEAU,Appartement,65,3,,92026
82,32,,RUE,GEORGES THORETTON,Appartement,59,3,,92036
83,74,,RUE,JULES GUESDE,Appartement,55,2,,92044
84,35,,AV,SAINTE FOY,Maison,90,4,115,93032
85,4,,ALL,JOSEPHINE,Appartement,77,4,,93051
86,129,,ALL,JULES AUFFRET,Appartement,46,2,,93057
87,1,,PL,GASTON BUSSIERE,Appartement,24,2,,93071
88,21,,RUE,CLAUDE BERNARD,Appartement,67,3,,94044
89,18,,RUE,DE PROVENCE,Maison,66,4,,94060
90,4,,RUE,DU CLOS SAINT NICOLAS,Appartement,49,2,,94060
91,7,,RUE,DE L EGALITE,Appartement,17,1,,94080
92,16,,RUE,DE LA FOSSE AUX BICHES,Appartement,69,4,,95252
93,57,,ALL,DU VEXIN,Maison,93,5,,95388
94,9004,,RES,LES LIGNIERES,Appartement,56,3,,95607
95,9,,RUE,NEUVE,Appartement,47,1,,01262
96,27,,RUE,FERNAND THUILLART,Appartement,156,6,,02408
97,2,,RUE,DENAIN,Appartement,77,3,,03190
98,7052,,RES,LES CHENEVRIERS,Appartement,25,1,,04073
99,7102,,PL,DE L ENGIEN,Appartement,133,4,,04166
100,9002,,PL,DU DOCTEUR ROBERT,Appartement,33,1,,04209
101,15,,AV,NIQUET,Appartement,41,2,,06004
102,7,,CHE,DE SAINT LAURENT,Appartement,58,3,,06027
103,8,,RUE,ROSSINI,Appartement,98,4,,06088
104,27,,RUE,LAMARTINE,Appartement,95,3,,06088
105,4,,AV,VALROSE,Appartement,68,3,,06088
106,15,B,AV,VICTOR CAUVIN,Appartement,58,2,,06159
107,5,,IMP,DU CHANT DE L ALOUETTE,Appartement,52,3,,10323
108,5279,F,RUE,DU 14 JUILLET,Appartement,51,3,,13119
109,55,,RUE,FRANCIS DAVSO,Appartement,50,2,,13201
110,9,,RUE,BOSCARY,Appartement,30,1,,13204
111,9,,RUE,CRUDERE,Appartement,51,3,,13206
112,13,,BD,GUSTAVE GANAY,Appartement,52,3,,13209
113,4,,RUE,AUX NAMPS,Appartement,59,2,,14118
114,1,,RUE,PESTEL,Appartement,13,1,,14333
115,1,,AV,P CASSAGNAVERE,Appartement,53,2,,14715
116,1,,RUE,CHARLES KOECHLIN,Maison,32,2,792,14754
117,66,,AV,DENFERT ROCHEREAU,Appartement,33,1,,17300
118,6,,RUE,DES MENDRIES,Maison,50,3,,17414
119,5,,RES,DE LA HAUTE RIVE,Appartement,67,4,,22113
120,33,,RUE,ANATOLE LE BRAZ,Appartement,57,2,,22168
121,16,H,BD,DE L ATLANTIQUE,Appartement,64,4,,22278
122,19,,AV,DAUMESNIL,Appartement,33,1,,24322
123,850,,CHE,DES GOUILLOTTES,Appartement,147,5,,25527
124,34,B,RUE,DU FAUBOURG ST JEAN,Maison,105,5,,28085
125,22,,RUE,THEAULON,Appartement,50,2,,30003
126,145,,QUAI,DE BILINA,Appartement,39,2,,30007
127,80,,RUE,DES ANEMONES,Appartement,19,1,,30133
128,4,B,RUE,ARNAVIELLE,Appartement,60,3,,30189
129,3,,RUE,DAUMESNIL,Appartement,57,2,,32013
130,230,,BD,DE LA REPUBLIQUE,Appartement,44,2,,33005
131,52,,RUE,DU TONDU,Appartement,60,4,,33063
132,17,,RUE,DES HIRONDELLES,Maison,86,4,,33075
133,17,,RUE,LAURENT FIGNON,Appartement,45,2,,33550
134,7,,AV,PASTEUR,Appartement,24,1,,34023
135,5,,RUE,HENRI HERTZ,Appartement,42,2,,37261
136,4,,ALL,DES ERABLES,Appartement,70,3,,37261
137,6,,RUE,DOYEN GOSSE,Appartement,20,1,,38169
138,4,,PL,BIR HAKEIM,Appartement,95,3,,38185
139,13,,AV,DE LA MUZELLE MT DE LANS,Appartement,62,3,,38253
140,176,,AV,GABRIELE  D ANNUNZIO,Maison,25,1,,40046
141,49,,AV,VICTOR HUGO,Appartement,19,1,,40088
142,112,,AV,DU MARENSIN,Maison,47,3,,40304
143,2,,CHE,DES GREFFIERS,Maison,93,4,396,42256
144,52,,BD,DE L EGALITE,Appartement,64,3,,44109
145,18,,RUE,BONNE GARDE,Appartement,47,2,,44190
146,1,,RUE,PAUL VERLAINE,Appartement,42,2,,44204
147,239,,FG,SAINT VINCENT,Appartement,65,3,,45234
148,13,,ALL,DES ERABLES,Appartement,69,1,,45286
149,74,,RTE,DE COUTANCES,Appartement,47,2,,50002
150,7,,IMP,DES CARMELITES,Appartement,121,4,,51454
151,21,,RUE,DES SOEURS MACARONS,Appartement,38,2,,54395
152,2,,RES,DE PORH MEN GUEN,Appartement,105,3,,56062
153,19,,AV,SIMONE,Appartement,80,3,,59368
154,42,Q,RUE,JEAN JAURES,Maison,30,2,,59378
155,468,,RUE,HENRI DURRE,Maison,139,5,,59491
156,2,,RUE,AMPERE,Appartement,37,1,,60159
157,59,C,RUE,DU GENERAL MANGIN,Maison,210,8,,60159
158,35,,IMP,JEAN DE LA FONTAINE,Appartement,30,2,,60382
159,1,,AV,JACQUES CARTIER,Appartement,74,4,,60395
160,34,B,AV,DE LA GARE,Appartement,68,3,,60524
161,76,,PL,GRAND PLACE,Appartement,45,2,,62041
162,31,,RUE,HIPPOLYTE GOMOT,Appartement,47,2,,63300
163,6,,AV,DE LA GARE,Appartement,109,4,,69003
164,78,B,RUE,DES COLLONGES,Appartement,43,2,,69204
165,496,,RUE,ETIENNE POULET,Appartement,71,3,,69264
166,72,,RUE,SAINT PIERRE DE VAISE,Appartement,38,1,,69389
167,2,,PL,DE LA RHODIACETA,Appartement,75,3,,69389
168,24,,RUE,DE LA BANQUE,Appartement,76,4,,70550
169,22,,RUE,D ALSACE LORRAINE,Appartement,106,4,,70550
170,13,,RTE,DES MOULINS,Appartement,21,1,,74014
171,110,,RTE,DE LA SAUGE,Appartement,76,3,,74249
172,192,,RUE,SAINT DENIS,Appartement,37,3,,75102
173,24,,RUE,DE SAINTONGE,Appartement,12,1,,75103
174,8,,RUE,SAINT PAUL,Appartement,25,2,,75104
175,30,,RUE,DES BOULANGERS,Appartement,20,1,,75105
176,36,,RUE,DE BUCI,Appartement,28,1,,75106
177,7,,RUE,COGNACQ JAY,Appartement,83,3,,75107
178,38,,AV,CLAUDE VELLEFAUX,Appartement,31,2,,75110
179,7,,RUE,PLICHON,Appartement,56,3,,75111
180,33,,AV,PHILIPPE AUGUSTE,Appartement,30,2,,75111
181,38,B,RUE,TRAVERSIERE,Appartement,50,2,,75112
182,31,,RUE,DE L ABBE CARTON,Appartement,26,1,,75114
183,8,,RUE,MARMONTEL,Appartement,37,2,,75115
184,22,A,RUE,EMERIAU,Appartement,97,6,,75115
185,62,,RUE,LEGENDRE,Appartement,75,3,,75117
186,68,,RUE,MSTISLAV ROSTROPOVITCH,Appartement,47,2,,75117
187,76,,RUE,LEPIC,Appartement,50,3,,75118
188,21,B,RUE,DUHESME,Appartement,51,3,,75118
189,124,,RUE,DAMREMONT,Appartement,50,2,,75118
190,89,,RUE,DES POISSONNIERS,Appartement,30,2,,75118
191,28,,RUE,DE TORCY,Appartement,68,3,,75118
192,9,,RUE,HENRI CHEVREAU,Appartement,25,1,,75120
193,4,,RUE,MICHEL DUBOSC,Appartement,20,1,,76351
194,3,,RUE,HENRY LEMONNIER,Appartement,30,1,,76447
195,10,,RUE,ROBERT DE THORIGNY,Appartement,39,2,,76451
196,19,B,RUE,DU GENERAL DE GAULLE,Appartement,29,2,,77005
197,56,,RUE,REMY DUMONCEL,Appartement,25,1,,77014
198,4,,RUE,KONRAD ADENAUER,Appartement,53,2,,77058
199,17,,AV,DU GENERAL DE GAULLE,Appartement,31,1,,77058
200,13,Q,RUE,DE CHAMPAGNE,Maison,102,5,,77059
201,2,E,SQ,DU PETIT MARGAT,Appartement,60,3,,77192
202,2,C,CHE,DU GAZON,Maison,76,4,,77259
203,17,,RUE,LOUVIOT,Appartement,33,2,,77288
204,15,,RUE,DE VAUX,Appartement,45,2,,77288
205,2,B,RUE,DU TEMPLE,Appartement,76,3,,77379
206,113,,AV,DE POISSY,Appartement,42,2,,78005
207,8,,SQ,DES AUBADES,Appartement,66,4,,78372
208,9,,RES,DE LA SABOTTE,Appartement,55,3,,78372
209,1,,SQ,DU JURANCON,Appartement,28,1,,78383
210,3,,RUE,LOUIS PASTEUR,Maison,107,6,,78550
211,9003,,CITE,LA GARENNE A BREFAUT,Appartement,51,3,,78621
212,16,,RUE,DE L OCCIDENT,Appartement,82,4,,78646
213,29,,RUE,DES LILAS,Maison,71,3,,82096
214,71,,CHE,DE L ESCOURCHE,Appartement,51,2,,83009
215,271,,BD,DES GRAVIERS,Appartement,15,1,,83009
216,9500,,RES,LE ST VINCENT,Appartement,30,2,,83034
217,1,,AV,PIERRE DE COUBERTIN,Appartement,64,3,,83070
218,9733,,RES,LES TROIS TOURS 2,Appartement,37,2,,85035
219,5,,AV,DU LITTORAL,Appartement,64,3,,85127
220,3,,RUE,FIEF DES COUTS,Appartement,64,3,,85194
221,46,,RUE,DU BAS RUET,Maison,88,4,,85262
222,38,,RUE,JULES FERRY,Appartement,82,3,,88372
223,1,,RUE,DE COLMAR,Appartement,44,2,,90010
224,24,,RUE,DE CRONSTADT,Appartement,56,3,,90010
225,43,,RUE,DES 3 CHENES,Appartement,63,4,,91114
226,10,,RES,LES BOIS DU CERF,Maison,168,6,,91225
227,5,,RUE,MONTTESSUY,Appartement,49,3,,91326
228,4,,ALL,D'AUTRICHE,Appartement,96,5,,91377
229,50,B,RTE,D ORLEANS RN 20,Appartement,44,2,,91425
230,10,,ALL,DES ERABLES,Maison,118,5,,91570
231,239,,AV,ROBERT LEUTHREAU,Maison,45,2,,91589
232,4,,RUE,BERNARD JUGAULT,Appartement,66,4,,92004
233,26,,RUE,DES BOURGUIGNONS,Appartement,40,3,,92004
234,12,,RUE,DU R P CH GILBERT,Appartement,54,2,,92004
235,1,,RUE,CLAUDE MIVIERE,Appartement,52,3,,92009
236,6,,IMP,BELLEVUE,Appartement,56,1,,92012
237,197,,RUE,GALLIENI,Appartement,88,4,,92012
238,19,,ALL,ROBERT DOISNEAU,Appartement,23,1,,92012
239,11,,RUE,SAINT DENIS,Appartement,29,2,,92012
240,11,,RUE,FESSART,Appartement,119,4,,92012
241,36,,RUE,PAUL HENRY THILLOY,Appartement,77,1,,92014
242,1162,,AV,ROGER SALENGRO,Appartement,50,3,,92022
243,85,,AV,HENRI BARBUSSE,Appartement,74,3,,92023
244,273,,RUE,SAINT DENIS,Appartement,62,3,,92025
245,9,,RUE,PAUL BERT,Appartement,35,2,,92025
246,21,,RUE,VICTOR HUGO,Appartement,32,2,,92025
247,7,,RUE,DE LA SABLIERE,Appartement,92,4,,92026
248,1,,SQ,DES COLONNES,Appartement,63,3,,92048
249,6,,RUE,DE L'OUEST,Appartement,61,3,,92050
250,7,,RUE,DU GUE,Appartement,25,1,,92063
251,11,,RUE,DE LA BENARDE,Appartement,46,2,,92063
252,12,,SQ,RONSARD,Appartement,47,2,,92063
253,7,,RUE,LOUIS BLANC,Appartement,43,2,,92075
254,55,,RUE,DU MOUTIER,Appartement,35,2,,93001
255,77,,RUE,SADI CARNOT,Appartement,30,2,,93006
256,4,,RUE,ARTHUR RIMBAUD,Appartement,71,3,,93010
257,24,,RUE,KLEBER,Appartement,147,6,,93048
258,68,,RUE,DU COLONEL FABIEN,Appartement,21,1,,94016
259,18,,RUE,PAUL CARLE,Appartement,42,2,,94022
260,15,,RUE,DE TRUCY,Appartement,15,1,,94033
261,3,,ALL,MULATRESSE SOLITUDE,Appartement,67,3,,94041
262,4,,RUE,HALIFAX,Appartement,76,3,,94042
263,6,,RUE,ANQUETIL,Appartement,50,2,,94052
264,83,,AV,DU BAC,Appartement,62,3,,94068
265,16,,RUE,DU MOUTIER,Appartement,34,2,,94071
266,1,,RUE,PIERRE ET MARIE CURIE,Appartement,39,2,,94076
267,7,,ALL,DE DERRIERE LES JARDINS,Appartement,82,4,,94079
268,74,,RUE,DE LA JARRY,Appartement,50,3,,94080
269,27,,AV,PAUL DEROULEDE,Appartement,20,1,,94080
270,4,,RUE,DE LA BRIQUETERIE,Appartement,63,3,,95203
271,1,,RUE,DES CAPUCINES,Appartement,46,2,,95218
272,1,,RUE,DU PAPIER COUCHE,Appartement,57,3,,95218
273,20,,RUE,DES MARECHAUX,Appartement,77,4,,95500
274,76,,RUE,GEORGE SAND,Appartement,61,3,,95572
275,9003,,PL,DE L HORLOGE,Appartement,119,4,,04209
276,17,,RUE,DE VERDUN,Appartement,30,2,,14079
277,6412,,CHE,DE BOIS LURETTE,Appartement,30,2,,14754
278,10,,RUE,FERRI III,Appartement,46,2,,54395
279,29,,RTE,DE CUSIN,Appartement,62,3,,74256
280,5,,RUE,DU ROCHER,Appartement,49,2,,77014
281,12,,RUE,MARTIN BLEU DIEU,Appartement,35,1,,80021
282,7,,AV,DU DOCTEUR ROUANET,Appartement,67,4,,82112
283,9,,RUE,DE LA JUIVERIE,Appartement,36,1,,91223
284,1,,RUE,DE GEX,Appartement,75,3,,01160
285,140,,RUE,DE L'ABBE JOLIVET,Maison,109,5,,01288
286,1,,RUE,DES MONGES,Appartement,120,4,,04070
287,3,,RUE,NOTRE-DAME,Appartement,32,2,,06029
288,56,,AV,DU TROIS SEPTEMBRE,Appartement,24,1,,06032
289,114,,AV,GASTON DE FONTMICHEL,Appartement,36,2,,06079
290,55,,AV,DE SOSPEL,Appartement,29,1,,06083
291,649,,PROM,DU SOLEIL,Appartement,57,2,,06083
292,17,,RUE,GOUNOD,Appartement,33,2,,06088
293,4,,BD,CIMIEZ,Appartement,144,4,,06088
294,,,,LES FEUILLATES,Appartement,63,3,,10325
295,17,D,RUE,DE LA COOPERATIVE,Appartement,50,3,,10343
296,146,,AV,GEN GALLIENI,Appartement,48,2,,10362
297,2,,RUE,NVE DE LA REPUBLIQUE,Appartement,66,3,,10362
298,1,,RES,GRUISSAN PORT,Appartement,25,3,,11170
299,156,,PL,DE LA BONANCE,Appartement,28,2,,11170
300,2,,RUE,DE LA BIBLIOTHEQUE,Appartement,84,5,,13005
301,26,,RUE,DOCT SEVERIN ICARD,Appartement,37,3,,13022
302,3,,RUE,ANTOINE PIRRODI,Appartement,30,1,,13028
303,432,,BD,DE LAVAUX,Appartement,114,4,,13028
304,200,,CHEM,DU COULET,Maison,61,3,,13101
305,294,,BD,CHAVE,Appartement,63,3,,13205
306,62,,BD,BOMPARD,Appartement,40,3,,13207
307,2,,RUE,CAPITAINE DESSEMOND,Appartement,22,1,,13207
308,27,,RUE,ROCCA,Appartement,86,4,,13208
309,1,,RES,LE LANCIER,Appartement,32,1,,13209
310,68,,BD,MIREILLE LAUZE,Appartement,111,5,,13210
311,6,,AV,ROGER DELIENCOURT,Appartement,43,2,,14220
312,4,,AV,DE LA REPUBLIQUE,Appartement,46,2,,14754
313,15,,RUE,JEAN JACQUES ROUSSEAU,Appartement,78,3,,18033
314,5,,RUE,D ESPAGNAC,Appartement,71,3,,19031
315,8,,PL,DU GUESCLIN,Appartement,123,4,,22278
316,6113,,,SUVERA TORTA,Maison,32,2,,2A362
317,5495,,CHE,NEUF,Maison,84,4,,30106
318,163,,RUE,DE BRUNSWICK,Appartement,40,1,,30189
319,74,,IMP,DES LUPINS,Appartement,65,3,,30189
320,4,,RUE,DEMOISELLES DE GASCOGNE,Appartement,38,2,,31203
321,10,,BD,PIERRE CURIE,Appartement,65,3,,31555
322,7,,RUE,ARISTIDE DE SOUSA-MENDES,Appartement,59,3,,33039
323,422,,RTE,DE TOULOUSE,Appartement,50,2,,33039
324,51,,RUE,DE PESSAC,Appartement,26,1,,33063
325,12,,RUE,ANDRE LEROUX,Appartement,35,2,,33514
326,16,,AV,VIEILLE TOUR,Appartement,19,1,,33522
327,6,B,RTE,DE LA GARONNE,Appartement,65,2,,33533
328,24,,ALL,DE LA FLANERIE,Appartement,23,1,,34003
329,94,,RUE,FRANCOISE GIROUD,Appartement,43,2,,34079
330,8,,AV,GAL DE GAULLE,Appartement,72,3,,34157
331,,,RES,PORT VAUBAN,Appartement,71,3,,34301
332,2,B,AV,CHARLES LE GOFFIC,Appartement,61,3,,35210
333,2,,RUE,DUGUESCLIN,Appartement,17,1,,35238
334,7,,RUE,JEAN LURCAT,Appartement,66,3,,37261
335,42,,CRS,JEAN JAURES,Appartement,31,2,,38185
336,3,,AV,DE VALMY,Appartement,62,3,,38185
337,10,,RUE,ELISEE CHATIN,Appartement,73,3,,38185
338,5519,,RES,LES TERRASSES DE L ALPE I,Appartement,17,1,,38191
339,1,,RUE,FRANZ LISZT,Appartement,61,4,,38421
340,2,,RUE,SIMONE DE BEAUVOIR,Appartement,81,4,,38421
341,7,,PL,DE LA VICTOIRE,Maison,101,5,,39526
342,11,,RUE,DES SERRES,Appartement,78,4,,40088
343,220,,CHE,DE LAREIGNE,Appartement,46,2,,40281
344,9,T,AV,DE LA GARE,Maison,50,3,,40284
345,1,,ALL,HELENE ET JACQUES SOLOMON,Appartement,65,3,,40312
346,3,,PL,ALEXANDRE VIRO,Appartement,90,4,,40312
347,80,,RTE,DE L ETANG,Maison,74,4,,40317
348,33,,RUE,DU TREYVE,Appartement,66,3,,42005
349,85,B,RUE,JOANNY AUGE,Appartement,77,3,,42187
350,12,,RUE,BERCHOUX,Appartement,42,2,,42187
351,10,,RUE,DES ECOLIERS,Appartement,59,2,,42187
352,115,,RUE,DU MOULIN A VENT PROLONGE,Appartement,70,4,,42332
353,33,,RUE,ST GILLES,Appartement,50,2,,43157
354,29,,RUE,CHARLES NUNGESSER,Maison,51,3,,44035
355,2,,IMP,DE L HOTEL DIEU,Maison,50,1,,44109
356,44,,BD,OCEANIDES,Appartement,68,2,,44132
357,5,,RUE,LOUISE MICHEL,Appartement,52,2,,44198
358,28,,RUE,GUSTAVE EIFFEL,Appartement,60,3,,45075
359,481,,AV,DU LOIRET,Appartement,68,4,,45232
360,13,,RUE,DE GAUCOURT,Appartement,45,2,,45234
361,28,,RUE,DE LA HAUTE CROIX,Appartement,26,1,,45284
362,63,,RUE,DU PRE PIGEON,Appartement,75,3,,49007
363,99,,RUE,DE LA MADELEINE,Appartement,20,1,,49007
364,1,,,LE CARRE DES TOILES,Appartement,40,2,,49099
365,72,,RUE,SAINT PIERRE,Appartement,59,2,,50147
366,2,,RUE,DES AUGUSTINS,Appartement,30,1,,51108
367,1,,PL,CARNOT,Appartement,44,2,,51230
368,17,,RUE,DU BOUCAU,Appartement,56,3,,54263
369,3,,IMP,DU RAIL,Appartement,38,2,,56023
370,324,,RUE,DE LA REPUBLIQUE,Appartement,44,2,,60342
371,2,B,RUE,DES CLIGNETTES,Appartement,80,4,,60513
372,1,,RUE,SAINT EXUPERY,Maison,82,4,,62893
373,2,,ALL,DE LA GRAVIERE,Appartement,54,2,,64102
374,9,B,CHE,DU LOUP,Appartement,61,3,,69089
375,18,B,RUE,DU PERRON,Maison,102,4,,69176
376,437,,RUE,DE THIZY,Appartement,57,3,,69264
377,14,,RUE,IMBERT COLOMES,Appartement,54,3,,69381
378,6,,RUE,ROUX SOIGNAT,Appartement,52,1,,69383
379,49,,RUE,EUGENE PONS,Appartement,52,2,,69384
380,15,,PL,EDOUARD DE LA BOUSSINIERE,Appartement,21,1,,72181
381,5669,H,,IMM ARCELLE 1,Appartement,27,2,,73257
382,448,,AV,DU MONT PACCARD,Appartement,25,2,,74236
383,116,,RUE,DE L AUTOMNE,Appartement,47,2,,74311
384,7,,RUE,NOTRE DAME DE NAZARETH,Appartement,26,2,,75103
385,67,,RUE,DE BRETAGNE,Appartement,11,1,,75103
386,22,,RUE,DU TEMPLE,Appartement,27,2,,75104
387,9,,RUE,LARREY,Appartement,26,1,,75105
388,1,,RUE,HUYSMANS,Appartement,29,1,,75106
389,62,,RUE,SAINT PLACIDE,Appartement,109,5,,75106
390,66,,RUE,DE RENNES,Appartement,163,5,,75106
391,45,,RUE,BONAPARTE,Appartement,79,3,,75106
392,27,,RUE,DES SAINTS PERES,Appartement,52,2,,75106
393,139,,RUE,DU FBG SAINT DENIS,Appartement,29,2,,75110
394,32,,RUE,DES PETITS HOTELS,Appartement,50,2,,75110
395,25,,PAS,DUBAIL,Appartement,71,3,,75110
396,13,,BD,DE LA VILLETTE,Appartement,48,3,,75110
397,6,,RUE,DE NEMOURS,Appartement,23,1,,75111
398,15,,BD,RICHARD LENOIR,Appartement,135,5,,75111
399,4,,RUE,MAILLARD,Appartement,53,3,,75111
400,4,,RUE,MAILLARD,Appartement,32,2,,75111
401,9,,RUE,DES BOULETS,Appartement,23,2,,75111
402,11,,AV,DU BEL AIR,Appartement,57,3,,75112
403,16,,RUE,LACUEE,Appartement,50,2,,75112
404,120,,RUE,DU MOULIN DES PRES,Appartement,51,2,,75113
405,45,,RUE,BOULARD,Appartement,31,3,,75114
406,41,,RUE,JONQUOY,Appartement,75,4,,75114
407,12,,RUE,JONQUOY,Appartement,50,3,,75114
408,10,,RUE,FIRMIN GILLOT,Appartement,12,1,,75115
409,37,,RUE,FONDARY,Appartement,62,3,,75115
410,36,,AV,GEORGES MANDEL,Appartement,357,8,,75116
411,15,,RUE,DUFRENOY,Appartement,27,1,,75116
412,11,,RUE,DE L ARC DE TRIOMPHE,Appartement,55,2,,75117
413,132,,RUE,DE TOCQUEVILLE,Appartement,14,1,,75117
414,32,,RUE,LEGENDRE,Appartement,50,3,,75117
415,17,,RUE,DE CHEROY,Appartement,135,7,,75117
416,7,,RUE,NOLLET,Appartement,42,3,,75117
417,3,,RUE,BRIDAINE,Appartement,22,1,,75117
418,98,,RUE,NOLLET,Appartement,80,4,,75117
419,75,,RUE,DOUDEAUVILLE,Appartement,11,1,,75118
420,37,,RUE,DE LA PLAINE,Appartement,48,2,,75120
421,2,,SQ,BRUSSEAU,Appartement,52,2,,77061
422,24,,RUE,GRANDE,Appartement,46,2,,77079
423,1,,RUE,DE BOURGOGNE,Appartement,60,3,,77118
424,3,,PL,PAUL EMILE VICTOR,Appartement,55,3,,77284
425,120,,ALL,DE PLEIN CIEL,Appartement,100,5,,77285
426,41,,BD,DE L ALMONT,Appartement,25,1,,77288
427,38,,RUE,DE LA CHARBONNIERE,Appartement,40,1,,77307
428,5929,B,CITE,DES GUETTES,Appartement,99,4,,77419
429,17,,RUE,DE LA MARNE,Maison,107,5,,77450
430,4,,,RES LA FONTAINE SAINT MARC,Appartement,67,3,,77487
431,2,,QUAI,DE L AMIRAL MOUCHEZ,Appartement,75,3,,78146
