id_codedep_codecommune,dep_code,code_postal,nom_commune,pmun,ptot
54446,54,,Réchicourt-la-Petite,65,67
54447,54,,Réclonville,76,77
54448,54,,Regniéville,,
54449,54,,Rehainviller,1048,1063
54450,54,,Reherrey,141,142
54451,54,54430,Réhon,3809,3885
54452,54,,Reillon,78,80
54453,54,,Rembercourt-sur-Mad,161,162
54454,54,,Remenauville,,
54455,54,,Remenoville,158,162
54456,54,,Réméréville,584,592
54457,54,,Remoncourt,44,44
54458,54,,Repaix,105,106
54459,54,54630,Richardménil,2329,2354
54460,54,,Rogéville,156,159
54461,54,,Romain,70,72
54462,54,,Rosières-aux-Salines,2870,2898
54463,54,,Rosières-en-Haye,235,237
54464,54,,Rouves,105,105
54465,54,,Roville-devant-Bayon,769,780
54466,54,,Royaumeix,390,395
54467,54,,Rozelieures,191,196
54468,54,,Saffais,113,115
54469,54,,Saint-Ail,418,423
54470,54,,Saint-Baussant,74,76
54471,54,,Saint-Boingt,71,74
54472,54,,Saint-Clément,854,870
54473,54,,Saint-Firmin,280,286
54474,54,,Sainte-Geneviève,192,192
54475,54,,Saint-Germain,155,161
54476,54,,Saint-Jean-lès-Longuyon,416,427
54477,54,,Saint-Julien-lès-Gorze,162,165
54478,54,,Saint-Marcel,149,150
54479,54,,Saint-Mard,95,96
54480,54,,Saint-Martin,56,57
54481,54,,Saint-Maurice-aux-Forges,98,101
54482,54,54130,Saint-Max,10019,10129
54483,54,54210,Saint-Nicolas-de-Port,7417,7490
54484,54,,Sainte-Pôle,186,189
54485,54,,Saint-Pancré,310,316
54486,54,,Saint-Remimont,355,360
54487,54,,Saint-Rémy-aux-Bois,64,64
54488,54,,Saint-Sauveur,35,35
54489,54,,Saint-Supplet,148,152
54490,54,,Saizerais,1473,1496
54491,54,,Sancy,315,322
54492,54,,Sanzey,152,154
54493,54,54650,Saulnes,2415,2454
54494,54,,Saulxerotte,101,101
54495,54,,Saulxures-lès-Nancy,4221,4280
54496,54,,Saulxures-lès-Vannes,368,372
54497,54,,Saxon-Sion,106,109
54498,54,,Seichamps,5069,5135
54499,54,,Seicheprey,112,116
54500,54,,Selaincourt,183,186
54501,54,,Seranville,101,101
54502,54,,Serres,243,244
54503,54,,Serrières,,
54504,54,,Serrouville,668,684
54505,54,,Sexey-aux-Forges,714,722
54506,54,,Sexey-les-Bois,,
54507,54,,Sionviller,103,105
54508,54,,Sivry,245,249
54509,54,,Sommerviller,994,998
54510,54,,Sornéville,312,318
54511,54,,Sponville,112,116
54512,54,,Tanconville,106,108
54513,54,,Tantonville,646,650
54514,54,,Tellancourt,601,616
54515,54,,Thélod,250,250
54516,54,,They-sous-Vaudemont,17,18
54517,54,,Thézey-Saint-Martin,203,205
54518,54,54470,Thiaucourt-Regniéville,1110,1120
54519,54,,Thiaville-sur-Meurthe,587,595
54520,54,,Thiébauménil,381,390
54521,54,54880,Thil,1950,1980
54522,54,,Thorey-Lyautey,142,145
54523,54,,Thuilley-aux-Groseilles,424,426
54524,54,,Thumeréville,84,86
54525,54,,Tiercelet,664,676
54526,54,54510,Tomblaine,8856,9145
54527,54,,Tonnoy,675,701
54528,54,54200,Toul,15633,15898
54529,54,,Tramont-Emy,28,28
54530,54,,Tramont-Lassus,86,88
54531,54,,Tramont-Saint-André,56,57
54532,54,,Tremblecourt,165,168
54533,54,54750,Trieux,2605,2638
54534,54,,Trondes,530,551
54535,54,,Tronville,200,202
54536,54,54640,Tucquegnieux,2438,2462
54537,54,,Ugny,690,719
54538,54,,Uruffe,381,384
54539,54,,Vacqueville,234,247
54540,54,,Val-et-Châtillon,578,584
54541,54,,Valhey,165,167
54542,54,54910,Valleroy,2322,2357
54543,54,,Vallois,158,160
54544,54,,Vandelainville,140,142
54545,54,,Vandeléville,211,216
54546,54,,Vandières,930,939
54547,54,54500,VandÅ“uvre-lès-Nancy,29942,30223
54548,54,,Vannes-le-Châtel,538,546
54549,54,54110,Varangéville,3594,3636
54550,54,54122,Vathiménil,322,330
54551,54,,Vaucourt,60,62
54552,54,,Vaudémont,62,64
54553,54,,Vaudeville,150,154
54554,54,,Vaudigny,77,78
54555,54,,Vaxainville,88,88
54556,54,,Vého,107,110
54557,54,,Bois-de-Haye,2306,2402
54558,54,,Velaine-sous-Amance,280,285
54559,54,,Velle-sur-Moselle,302,304
54560,54,,Veney,52,52
54561,54,,Vennezey,47,48
54562,54,,Verdenal,159,166
54563,54,,Vézelise,1392,1409
54564,54,,Viéville-en-Haye,141,145
54565,54,,Vigneulles,235,237
54566,54,,Vilcey-sur-Trey,154,155
54567,54,,Villacourt,366,379
54568,54,,Ville-au-Montois,271,274
54569,54,,Ville-au-Val,191,195
54570,54,,Villecey-sur-Mad,340,347
54571,54,,Ville-en-Vermois,594,602
54572,54,,Ville-Houdlémont,683,688
54573,54,,Villers-en-Haye,170,170
54574,54,,Villers-la-Chèvre,551,570
54575,54,,Villers-la-Montagne,1525,1562
54576,54,,Villers-le-Rond,117,118
54577,54,,Villers-lès-Moivrons,143,144
54578,54,54600,Villers-lès-Nancy,14525,14827
54579,54,,Villers-sous-Prény,339,346
54580,54,54190,Villerupt,10003,10111
54581,54,,Ville-sur-Yron,297,306
54582,54,,Villette,183,184
54583,54,,Villey-le-Sec,415,423
54584,54,54200,Villey-Saint-Etienne,1032,1054
54585,54,,Virecourt,491,497
54586,54,,Viterne,741,748
54587,54,,Vitrey,195,198
54588,54,,Vitrimont,395,404
54589,54,,Vittonville,128,134
54590,54,,Viviers-sur-Chiers,665,684
54591,54,,Voinémont,330,342
54592,54,,Vroncourt,260,263
54593,54,,Waville,428,433
54594,54,,Xammes,159,160
54595,54,,Xermaménil,561,568
54596,54,,Xeuilley,966,973
54597,54,,Xirocourt,443,446
54598,54,,Xivry-Circourt,270,277
54599,54,,Xonville,112,112
54600,54,,Xousse,129,130
54601,54,,Xures,103,104
54602,54,,Han-devant-Pierrepont,148,148
55001,55,,Abainville,290,300
55002,55,,Abaucourt-Hautecourt,103,106
55003,55,,Ailly-sur-Meuse,,
55004,55,,Aincreville,77,77
55005,55,,Amanty,36,37
55006,55,,Amblaincourt,,
55007,55,,Ambly-sur-Meuse,241,243
55008,55,,Amel-sur-l'Etang,146,151
55009,55,,Ancemont,538,557
55010,55,,Ancerville,2662,2735
55011,55,,Andernay,257,260
55012,55,,Apremont-la-Forêt,414,422
55013,55,,Arrancy-sur-Crusne,474,482
55014,55,,Aubréville,361,368
55015,55,,Aulnois-en-Perthois,498,510
55016,55,,Aulnois-sous-Vertuzey,,
55017,55,,Autrécourt-sur-Aire,118,123
55018,55,,Autréville-Saint-Lambert,40,42
55019,55,,Auzécourt,,
55020,55,,Auzéville-en-Argonne,,
55021,55,,Avillers-Sainte-Croix,62,64
55022,55,,Avioth,151,155
55023,55,,Avocourt,116,117
55024,55,,Azannes-et-Soumazannes,162,165
55025,55,,Baâlon,277,280
55026,55,,Badonvilliers-Gérauvilliers,132,137
55027,55,,Bannoncourt,159,162
55028,55,,Bantheville,113,116
55029,55,,Bar-le-Duc,14625,15221
55030,55,,Baudignécourt,,
55031,55,,Baudonvilliers,378,384
55032,55,,Baudrémont,45,46
55033,55,,Baulny,18,19
55034,55,,Bazeilles-sur-Othain,115,118
55035,55,,Bazincourt-sur-Saulx,147,153
55036,55,,Beauclair,92,93
55037,55,,Beaufort-en-Argonne,145,147
55038,55,,Beaulieu-en-Argonne,38,40
55039,55,,Beaumont-en-Verdunois,0,0
55040,55,,Beausite,253,259
55041,55,,Behonne,608,624
55042,55,,Belleray,525,537
55043,55,55430,Belleville-sur-Meuse,3040,3093
55044,55,,Belrain,33,36
55045,55,,Belrupt-en-Verdunois,558,566
55046,55,,Beney-en-WoÃ«vre,128,132
55047,55,,Béthelainville,161,167
55048,55,,Béthincourt,34,36
55049,55,,Beurey-sur-Saulx,421,421
55050,55,,Bezonvaux,0,0
55051,55,,Biencourt-sur-Orge,125,128
55052,55,,Billy-sous-les-Côtes,,
55053,55,,Billy-sous-Mangiennes,369,371
55054,55,,Bislée,61,66
55055,55,,Blanzée,13,14
55056,55,,Blercourt,,
55057,55,,Boinville-en-WoÃ«vre,78,80
55058,55,,Boncourt-sur-Meuse,326,336
55059,55,,Bonnet,191,199
55060,55,,Bonzée,346,360
55061,55,,Le Bouchon-sur-Saulx,239,245
55062,55,,Bouconville-sur-Madt,114,115
55063,55,,Bouligny,2464,2503
55064,55,,Bouquemont,104,104
55065,55,,Boureuilles,119,119
55066,55,,Bovée-sur-Barboure,131,135
55067,55,,Boviolles,100,102
55068,55,,Brabant-en-Argonne,111,114
55069,55,,Brabant-le-Roi,229,232
55070,55,,Brabant-sur-Meuse,120,126
55071,55,,Brandeville,182,187
55072,55,,Braquis,109,110
55073,55,,Bras-sur-Meuse,691,741
55074,55,,Brasseitte,,
55075,55,,Brauvilliers,174,178
55076,55,,Bréhéville,168,169
55077,55,,Breux,263,272
55078,55,,Brieulles-sur-Meuse,305,314
55079,55,,Brillon-en-Barrois,696,717
55080,55,,Brixey-aux-Chanoines,80,84
55081,55,,Brizeaux,58,59
55082,55,,Brocourt-en-Argonne,46,47
55083,55,,Brouennes,153,157
55084,55,,Broussey-en-Blois,57,59
55085,55,,Broussey-Raulecourt,288,292
55086,55,,Bulainville,,
55087,55,,Bure,81,89
55088,55,,Burey-en-Vaux,152,156
55089,55,,Burey-la-Côte,88,89
55090,55,,Bussy-la-Côte,,
55091,55,,Butgnéville,,
55092,55,,Buxerulles,,
55093,55,,Buxières-sous-les-Côtes,290,293
55094,55,,Buzy-Darmont,549,560
55095,55,,Cesse,104,108
55096,55,,Chaillon,112,113
55097,55,,Chalaines,312,318
55098,55,,Champlon,,
55099,55,,Champneuville,121,122
55100,55,,Champougny,79,87
55101,55,,Chardogne,298,306
55102,55,,Charny-sur-Meuse,524,543
55103,55,,Charpentry,21,23
55104,55,,Chassey-Beaupré,81,84
55105,55,,Châtillon-sous-les-Côtes,178,182
55106,55,,Chattancourt,179,184
55107,55,,Chaumont-devant-Damvillers,47,48
55108,55,,Chaumont-sur-Aire,124,128
55109,55,,Chauvency-le-Château,237,244
55110,55,,Chauvency-Saint-Hubert,226,233
55111,55,,Chauvoncourt,444,464
55112,55,,Chennevières,,
55113,55,,Cheppy,156,157
55114,55,,Chonville-Malaumont,206,210
55115,55,,Cierges-sous-Montfaucon,46,46
55116,55,,Le Claon,55,57
55117,55,,Clermont-en-Argonne,1453,1487
55118,55,,Cléry-le-Grand,96,98
55119,55,,Cléry-le-Petit,190,191
55120,55,,Combles-en-Barrois,785,808
55121,55,,Combres-sous-les-Côtes,119,124
55122,55,,Commercy,5386,5621
55123,55,,Les Hauts-de-Chée,712,727
55124,55,,Consenvoye,309,313
55125,55,,Contrisson,797,816
55126,55,,Corniéville,,
55127,55,,Courcelles-en-Barrois,41,41
55128,55,,Courcelles-sur-Aire,41,42
55129,55,,Courouvre,37,38
55130,55,,Cousancelles,,
55131,55,,Cousances-au-Bois,,
55132,55,,Cousances-les-Forges,1680,1709
55133,55,,Couvertpuis,87,92
55134,55,,Couvonges,153,157
55135,55,,Crépion,,
55136,55,,CreuÃ«,,
55137,55,,Cuisy,48,48
55138,55,,Culey,133,136
55139,55,,Cumières-le-Mort-Homme,0,0
55140,55,,Cunel,17,17
55141,55,,Dagonville,83,83
55142,55,,Dainville-Bertheléville,121,127
55143,55,,Damloup,127,135
55144,55,,Dammarie-sur-Saulx,385,398
55145,55,,Damvillers,626,700
55146,55,,Dannevoux,207,218
55147,55,,Darmont,,
55148,55,,Delouze-Rosières,112,116
55149,55,,Delut,122,122
55150,55,,Demange-Baudignécourt,521,534
55151,55,,Deuxnouds-aux-Bois,,
55152,55,,Deuxnouds-devant-Beauzée,,
55153,55,,Dieppe-sous-Douaumont,195,197
55154,55,,Dieue-sur-Meuse,1441,1488
55155,55,,Dombasle-en-Argonne,397,404
55156,55,,Dombras,138,142
55157,55,,Dommartin-la-Montagne,52,52
55158,55,,Dommary-Baroncourt,731,739
55159,55,,Dompcevrin,338,341
55160,55,,Dompierre-aux-Bois,38,38
55161,55,,Domremy-aux-Bois,,
55162,55,,Domremy-la-Canne,35,35
55163,55,,Doncourt-aux-Templiers,56,59
55164,55,,Douaumont,,
